Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Dominican Republic,DOM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4595.065677,5047.560735,5351.055897,5518.653857,5537.428277,5851.79887,6214.21529,6501.207713,6727.578894,7113.34938,7270.192051,6313.756343,7364.098945,..,..
Ecuador,ECU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3303.942696,3484.174108,3771.616968,4196.201362,4567.574489,4809.210381,4854.429311,4784.817801,4822.279331,4668.739001,4622.757334,4317.410628,4420.825286,..,..
"Egypt, Arab Rep.",EGY,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1883.717039,2089.409049,2148.266194,2551.208276,2583.679047,2704.037645,2983.278506,2957.127231,1999.859373,2043.811503,2431.968009,2964.90284,3184.810353,..,..
El Salvador,SLV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2540.333614,2666.647034,2954.688644,3033.327819,3051.757099,3111.704498,3205.960987,3266.583474,3329.518054,3426.776045,3567.957559,3208.337881,3710.660817,..,..
Equatorial Guinea,GNQ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4204.314987,2100.041406,3893.130114,3902.706573,4764.483586,4872.220079,3844.051525,3210.780176,2864.504614,3012.706494,2356.554286,2243.607987,2709.305292,..,..
Eritrea,ERI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,579.0391239,482.188957,485.382935,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,11532.87994,11282.42234,13704.93151,13778.33723,15315.38844,16276.91133,14040.88602,14872.60242,16600.90075,18854.37331,19062.76949,19133.10065,22462.36475,..,..
Eswatini,SWZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2623.202041,3012.036659,3025.843246,2936.681655,2896.015887,2794.782951,2581.366071,2391.256758,2764.211007,3002.285678,2664.962165,2361.575698,2886.409976,..,..
Ethiopia,ETH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,272.4682465,246.2436034,249.6915521,334.0210722,360.1079645,421.3570554,478.1032535,547.1037514,595.983941,627.812547,708.7418191,779.4577006,786.5847648,..,..
Faroe Islands,FRO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2886.038578,3026.675967,3492.570279,3645.179811,3969.220986,4374.066692,4142.135905,4408.054247,4635.249114,4918.535725,4730.101074,3953.150164,3782.211976,..,..
